"","station","name","lon","lat"
"21303","15552700","PONTE COMEMORACAO (PIMENTA BUENO)",-61.1811,-11.6703
"21314","15553500","FAZENDA EXPANSAO",-61.0464,-12.4878
"21323","15556000","CACHOEIRA PRIMAVERA - MONTANTE",-61.2394,-11.9011
"21324","15556010","PCH PRIMAVERA JUSANTE",-61.2394,-11.9011
"21325","15558000","PIMENTA BUENO",-61.1922,-11.6836
"21332","15559000","SITIO BELA VISTA",-61.215,-11.6525
"21333","15560000","JI-PARANA",-61.9356,-10.8736
"21337","15565000","JARU",-62.4656,-10.4458
"21341","15571000","SAO MATEUS",-61.9333,-9.8667
"21342","15571100","FABIO BARRAGEM (EX -JP-14 )",-61.8817,-9.7431
"21345","15571500","BUENOS AIRES",-61.6667,-9.25
"21346","15572000","UNIAO",-62.2333,-9.7333
"21348","15575000","PIRATININGA",-61.9347,-9.3472
"21350","15580000","TABAJARA",-62.0556,-8.9322
"21352","15590000","MINERACAO JACUNDA",-62.9522,-9.1789
"21359","15630000","HUMAITA",-63.0183,-7.5028
"21360","15650000","MALOCA TENHARIM",-62.0425,-7.9578
"21361","15660000","MAICI-MIRIM",-62.6553,-7.6303
"21362","15670000","NOVA ESPERANCA",-61.7661,-6.3592
"21363","15680000","FAZENDA BELA VISTA",-61.3339,-7.8533
"21364","15700000","MANICORE",-61.3019,-5.8167
"21370","15750000","HUMBOLDT",-59.4661,-10.1694
"21378","15790000","BOM DESTINO",-59.7717,-8.3747
"21379","15795000","LEONTINO",-60.5761,-7.7394
"21380","15800000","BOCA DO GUARIBA",-60.5783,-7.7058
"21381","15820000","CONCISA",-60.6919,-9.8169
"21382","15825000","MINERACAO SAO FRANCISCO",-61.3883,-9.2481
"21383","15828000","FAZENDA BOA LEMBRANCA",-60.7094,-7.5928
"21384","15830000","PRAINHA VELHA",-60.65,-7.2078
"21387","15860000","FAZENDA VISTA ALEGRE",-60.0253,-4.8972
"21390","15903000","BOA FE",-58.9386,-7.2275
"21391","15905000","BOCA DO URUCU",-58.9333,-7.15
"21392","15910000","SANTAREM SUCUNDURI",-59.0422,-6.7956
"21395","15930000","ACARI BR-230",-59.6833,-7.1014
"21399","16010000","RIO URUBU",-59.3589,-2.6625
"21409","16080000","BALBINA P-8 (UHE BALBINA)",-59.4833,-1.9381
"21418","16100000","CACHOEIRA MORENA",-59.3442,-2.1061
"21420","16150000","KATUEMA",-58.6833,-1.0333
"21421","16200000","BASE DA SIDERAMA",-58.5189,-1.6406
"21422","16205000","BASE SIDERAMA - JUSANTE",-58.5333,-1.6833
"21429","16360000","FAZENDA PARAMAZONAS",-57.8167,-4.6333
"21430","16365000","MAMURU",-56.3667,-3.4167
"21431","16368000","MINERACAO CAIMA",-57.8269,-1.4381
"21432","16370000","PERIMETRAL NORTE",-56.8706,0.6425
"21440","16430000","GARGANTA",-57.0431,-0.9978
"21441","16430003","CUMARU 2",-57.065,-1.0644
"21442","16430004","MAGINA 2",-57.0586,-1.0603
"21443","16430005","MAGINA 1",-57.0567,-1.0383
"21447","16450000","CACHOEIRA ALTA",-57.1794,0.9125
"21448","16460000","CARAMUJO",-57.0614,-1.065
"21449","16470002","CUMARU",-57.0675,-1.0297
"21450","16480000","ALDEIA WAI-WAI",-57.9747,-0.6947
"21454","16500000","ESTIRAO DA ANGELICA",-57.0569,-1.1006
"21455","16560000","MAP-1",-57.2339,-1.1192
"21458","16600000","PORTO TROMBETAS",-56.3833,-1.4583
"21459","16620000","MAE CUE",-56.7086,-1.4603
"21463","16660000","IBDF",-56.8519,-1.3703
"21464","16670000","PRAIA RASA",-56.9231,-1.2322
